Term,Status,Section,Title,Dates,Location,InstructionalMethods,Meetings,Instructors,Availability,Credits,Comments
Spring 2026,Open,ENES-100-001,Intro to Engineering Design,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation

Lab","M 9:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 165 (LEC)
Th 5:00-5:50 PM
1/26/2026 - 5/16/2026
TCH 101 (RCT)
W 9:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 165 (LAB)",Mr. Kevin D. Johnson,2 / 18 / 0,3.00000 Credits,
Spring 2026,Open,ENES-100-002,Intro to Engineering Design,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation

Lab","M 11:00 AM-12:50 PM
1/26/2026 - 5/16/2026
TCH 165 (LEC)
Th 5:00-5:50 PM
1/26/2026 - 5/16/2026
TCH 101 (RCT)
W 11:00 AM-12:50 PM
1/26/2026 - 5/16/2026
TCH 165 (LAB)",Mr. Kevin D. Johnson,1 / 18 / 0,3.00000 Credits,
Spring 2026,Open,ENES-100-003,Intro to Engineering Design,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation

Lab","T 9:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 165 (LEC)
Th 5:00-5:50 PM
1/26/2026 - 5/16/2026
TCH 101 (RCT)
Th 9:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 165 (LAB)","Dr. Stefan Cular
Dr. Ghazanfer Bozai",5 / 18 / 0,3.00000 Credits,
Spring 2026,Open,ENES-120-001,Statics,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation","T 5:00-6:50 PM
1/26/2026 - 5/16/2026
TCH 111 (LEC)
T 7:00-8:50 PM
1/26/2026 - 5/16/2026
TCH 111 (RCT)",Mr. Walid Halboni,16 / 24 / 0,3.00000 Credits,
Spring 2026,Open,ENES-130-001,Dynamics,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation","M 6:00-7:50 PM
1/26/2026 - 5/16/2026
TCH 111 (LEC)
W 6:00-7:50 PM
1/26/2026 - 5/16/2026
TCH 111 (RCT)",Dr. Zhaoxing Xie,14 / 24 / 0,3.00000 Credits,
Spring 2026,Open,ENES-140-001,Mechanics of Materials,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation","T 1:00-2:50 PM
1/26/2026 - 5/16/2026
TCH 205 (LEC)
Th 1:00-2:50 PM
1/26/2026 - 5/16/2026
TCH 205 (RCT)",Mr. Christopher J. Hallock,9 / 24 / 0,3.00000 Credits,
Spring 2026,Open,ENES-181-001,Thermodynamics,1/26/2026-5/16/2026,Main Campus,"Lecture

Recitation","M 3:30-5:20 PM
1/26/2026 - 5/16/2026
TCH 303 (LEC)
W 3:30-5:20 PM
1/26/2026 - 5/16/2026
TCH 303 (RCT)",Carlos R. Barajas,13 / 24 / 0,3.00000 Credits,
Spring 2026,Open,ENES-205-001,Electric Circuits,1/26/2026-5/16/2026,Main Campus,"Lecture

Lab","M 1:00-3:50 PM
1/26/2026 - 5/16/2026
TCH 253 (LEC)
W 1:00-3:50 PM
1/26/2026 - 5/16/2026
TCH 253 (LAB)",Dr. Stefan Cular,6 / 16 / 0,4.00000 Credits,
Spring 2026,Open,ENES-247-001,Digital Circuits & Systems Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 1:00-4:00 PM
1/26/2026 - 5/16/2026
TCH 253 (LAB)",Dr. Stefan Cular,23 / 24 / 0,1.00000 Credits,
Spring 2026,Open,ENES-250-001,Intro to Life Safety Analysis,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 5:30-6:50 PM
1/26/2026 - 5/16/2026
TCH 303 (LEC)",Mr. Christopher J. Hallock,23 / 24 / 0,3.00000 Credits,
